transaction_id,customer_id,product_id,transaction_date,online_order,order_status
1,2950,2,2017-02-25,False,Approved
2,3120,3,2017-05-21,True,Approved
3,402,37,2017-10-16,False,Approved
4,3135,88,2017-08-31,False,Approved
5,787,78,2017-10-01,True,Approved
6,2339,25,2017-03-08,True,Approved
7,1542,22,2017-04-21,True,Approved
8,2459,15,2017-07-15,False,Approved
9,1305,67,2017-08-10,False,Approved
10,3262,12,2017-08-30,True,Approved
11,1986,5,2017-01-17,False,Approved
12,2783,61,2017-01-05,True,Approved
13,1243,35,2017-02-26,True,Approved
14,2717,16,2017-09-10,False,Approved
15,247,12,2017-06-11,False,Approved
16,2961,3,2017-10-10,False,Approved
17,2426,79,2017-04-03,False,Approved
18,1842,33,2017-06-02,False,Approved
19,2268,54,2017-04-06,True,Approved
20,3002,25,2017-01-28,True,Approved
21,1582,27,2017-10-09,False,Approved
22,595,37,2017-06-29,True,Approved
23,2001,37,2017-04-08,True,Approved
24,515,82,2017-10-18,False,Approved
25,2822,89,2017-06-11,False,Approved
26,2596,64,2017-01-10,False,Approved
27,2666,64,2017-04-11,True,Approved
28,76,19,2017-12-23,False,Approved
29,3368,72,2017-10-13,True,Approved
30,1173,91,2017-03-15,False,Approved
31,2810,88,2017-09-05,True,Approved
32,3214,1,2017-02-18,False,Approved
33,1272,25,2017-03-20,False,Approved
34,2003,99,2017-02-28,True,Approved
35,2171,0,2017-08-20,False,Approved
36,3356,92,2017-07-07,False,Approved
37,1040,14,2017-01-09,False,Approved
38,2916,2,2017-12-06,False,Approved
39,427,12,2017-09-12,False,Approved
40,2448,0,2017-11-28,True,Approved
41,2570,44,2017-05-08,True,Approved
42,3398,79,2017-05-14,False,Approved
43,488,76,2017-03-17,False,Cancelled
44,165,46,2017-12-22,False,Approved
45,2787,55,2017-06-07,True,Approved
46,3053,66,2017-06-20,False,Approved
47,475,35,2017-05-07,True,Approved
48,1305,81,2017-06-10,True,Approved
49,1251,86,2017-06-17,False,Approved
50,3103,32,2017-05-10,False,Approved
51,3108,77,2017-03-24,False,Approved
52,857,96,2017-11-27,False,Approved
53,3455,6,2017-12-21,True,Approved
54,2549,27,2017-02-09,True,Approved
55,3140,0,2017-09-18,False,Approved
56,3406,47,2017-11-14,False,Approved
57,2294,94,2017-08-30,True,Approved
58,1031,91,2017-11-14,False,Approved
59,993,93,2017-02-15,True,Approved
60,3473,60,2017-12-18,False,Approved
61,1839,0,2017-02-24,False,Approved
62,1824,33,2017-12-18,True,Approved
63,368,35,2017-12-17,False,Approved
64,2000,0,2017-07-08,False,Approved
65,825,28,2017-05-16,True,Approved
66,3315,86,2017-02-23,True,Approved
67,75,2,2017-07-03,True,Approved
68,1498,4,2017-09-30,True,Approved
69,1612,38,2017-10-21,True,Approved
70,2192,27,2017-05-06,True,Approved
71,419,54,2017-01-03,False,Approved
72,3307,77,2017-05-09,True,Approved
73,2430,22,2017-07-23,False,Approved
74,1506,56,2017-01-21,True,Approved
75,1346,58,2017-06-20,False,Approved
76,927,22,2017-03-10,False,Approved
77,763,50,2017-06-02,False,Approved
78,2397,80,2017-11-07,False,Approved
79,102,87,2017-09-12,True,Approved
80,2884,15,2017-12-16,False,Approved
81,759,84,2017-10-07,True,Approved
82,773,21,2017-04-27,True,Approved
83,3398,0,2017-04-01,True,Approved
84,3297,33,2017-11-02,True,Approved
85,2434,84,2017-02-13,True,Approved
86,1861,1,2017-07-19,False,Approved
87,1233,27,2017-05-23,False,Approved
88,1390,31,2017-08-06,False,Approved
89,2682,0,2017-04-04,True,Approved
90,439,62,2017-08-15,True,Approved
91,1579,17,2017-04-15,True,Approved
92,2984,73,2017-07-25,True,Approved
93,3470,33,2017-11-28,True,Approved
94,1,86,2017-12-23,False,Approved
95,757,45,2017-02-26,False,Approved
96,1778,1,2017-02-21,False,Approved
97,211,80,2017-05-31,True,Approved
98,333,49,2017-06-23,,Approved
99,32,95,2017-03-26,False,Approved
100,119,0,2017-07-31,False,Approved
101,2347,18,2017-07-27,False,Approved
102,2353,4,2017-04-14,False,Approved
103,788,33,2017-11-12,False,Approved
104,1468,78,2017-09-12,False,Approved
105,821,89,2017-10-26,False,Approved
106,2489,70,2017-02-15,False,Approved
107,2710,79,2017-12-22,False,Approved
108,947,26,2017-10-11,True,Approved
109,1335,39,2017-03-27,True,Approved
110,1076,36,2017-11-04,False,Approved
111,3320,0,2017-06-11,True,Approved
112,779,84,2017-10-09,False,Approved
113,3296,98,2017-06-07,True,Approved
114,455,75,2017-10-24,True,Approved
115,1779,76,2017-05-01,False,Approved
116,2703,72,2017-11-21,True,Approved
117,806,42,2017-03-24,False,Approved
118,22,20,2017-03-21,False,Approved
119,1591,64,2017-02-20,False,Approved
120,678,0,2017-06-16,False,Approved
121,50,25,2017-12-04,False,Approved
122,1038,24,2017-12-01,True,Approved
123,1453,31,2017-03-05,True,Approved
124,1339,98,2017-03-21,False,Approved
125,3382,22,2017-01-03,True,Approved
126,773,53,2017-04-01,False,Approved
127,2503,84,2017-03-16,True,Approved
128,1057,25,2017-02-26,False,Approved
129,1397,50,2017-06-05,False,Approved
130,2134,44,2017-09-04,False,Approved
131,2403,96,2017-01-18,True,Approved
132,1937,12,2017-09-28,False,Approved
133,1282,93,2017-09-02,True,Approved
134,2183,78,2017-05-09,False,Approved
135,1788,84,2017-10-17,False,Approved
136,1170,65,2017-04-25,True,Approved
137,431,0,2017-09-23,False,Approved
138,1940,29,2017-08-02,False,Approved
139,2073,32,2017-03-25,False,Cancelled
140,462,11,2017-01-01,False,Approved
141,2728,10,2017-12-22,False,Approved
142,2053,46,2017-12-25,False,Approved
143,2135,60,2017-01-26,True,Approved
144,1217,92,2017-12-20,False,Approved
145,2992,7,2017-06-07,True,Approved
146,3261,41,2017-04-06,True,Approved
147,2748,67,2017-04-25,True,Approved
148,3262,14,2017-01-13,False,Approved
149,788,89,2017-03-21,False,Approved
150,3067,9,2017-11-21,True,Approved
151,701,31,2017-11-11,False,Approved
152,648,92,2017-10-16,False,Approved
153,3286,37,2017-08-19,True,Approved
154,3383,3,2017-04-06,True,Approved
155,982,56,2017-11-04,True,Approved
156,676,14,2017-08-22,True,Approved
157,385,6,2017-09-15,True,Approved
158,1229,50,2017-03-01,True,Approved
159,3232,10,2017-08-16,False,Approved
160,3300,0,2017-08-27,False,Approved
161,2381,69,2017-07-10,False,Approved
162,371,78,2017-12-11,False,Approved
163,2519,80,2017-05-20,True,Approved
164,2264,17,2017-07-30,False,Approved
165,2637,3,2017-10-25,True,Approved
166,3262,78,2017-11-27,False,Approved
167,3177,90,2017-04-26,,Approved
168,2267,87,2017-02-02,False,Approved
169,456,97,2017-05-02,False,Approved
170,404,6,2017-10-16,,Approved
171,3121,100,2017-10-22,False,Approved
172,2365,55,2017-04-11,True,Approved
173,2528,100,2017-11-16,False,Approved
174,3151,10,2017-12-17,False,Approved
175,3241,25,2017-12-23,False,Approved
176,1335,74,2017-03-30,True,Approved
177,2234,90,2017-04-13,False,Approved
178,3226,56,2017-07-25,True,Approved
179,1365,62,2017-01-31,False,Approved
180,3349,20,2017-03-18,True,Approved
181,1002,17,2017-02-24,False,Approved
182,2282,16,2017-02-18,False,Approved
183,2656,46,2017-01-07,False,Approved
184,2409,71,2017-07-05,True,Approved
185,1711,91,2017-11-19,False,Approved
186,2582,17,2017-11-08,True,Approved
187,1005,1,2017-07-24,True,Approved
188,1597,3,2017-01-15,True,Approved
189,2713,56,2017-01-12,True,Approved
190,1435,37,2017-11-27,True,Approved
191,1477,34,2017-06-30,True,Approved
192,1614,0,2017-07-15,True,Approved
193,1254,12,2017-06-22,True,Approved
194,1423,25,2017-05-02,False,Approved
195,276,81,2017-12-27,False,Approved
196,1315,19,2017-12-21,True,Approved
197,591,45,2017-05-23,True,Approved
198,1017,74,2017-02-02,False,Approved
199,2123,33,2017-06-08,False,Approved
200,2889,57,2017-04-15,True,Approved
201,3208,0,2017-09-05,True,Approved
202,2406,23,2017-02-26,True,Approved
203,2041,67,2017-07-29,False,Approved
204,1598,81,2017-07-03,True,Approved
205,1842,58,2017-05-27,True,Approved
206,141,5,2017-05-05,False,Approved
207,1321,94,2017-09-09,False,Approved
